Year,Month,M,L,C,KD,S,V,MP,SD
2006,4,28.1,9.74,5.5,5.640000000000001,36.94,5.6,5.26,0.0
2006,8,27.263636363636362,10.327272727272726,5.836363636363637,6.263636363636365,35.654545454545456,5.254545454545454,5.463636363636364,0.0
2006,12,25.7375,6.8125,6.825,5.4375,39.8125,5.4,5.9375,2.55
2006,2,28.8,10.36,5.6,5.08,35.76,6.2,5.24,0.0
2006,1,29.619999999999997,9.76,6.08,4.279999999999999,36.16,5.96,5.5200000000000005,0.0
2006,7,28.1,10.0,6.6,5.75,35.95,5.15,4.5,0.0
2006,6,26.95,9.566666666666666,5.8,5.533333333333334,37.38333333333333,6.116666666666667,5.283333333333333,0.0
2006,5,26.839999999999996,10.379999999999999,5.54,5.340000000000001,36.44,6.8,5.26,0.0
2006,3,29.060000000000002,10.24,6.0200000000000005,4.94,36.18,5.4,4.84,0.0
2006,11,26.0,6.7,7.466666666666668,5.233333333333333,39.06666666666666,5.266666666666667,5.766666666666667,2.85
2006,10,27.5,7.933333333333334,7.233333333333333,5.566666666666666,35.300000000000004,5.766666666666667,6.166666666666667,2.95
2006,9,25.78076923076923,8.996153846153847,6.5576923076923075,7.115384615384615,34.642307692307696,6.523076923076923,5.611538461538462,1.9166666666666667
2007,4,26.419999999999998,5.4,6.34,4.86,42.08,5.08,5.779999999999999,3.0
2007,8,25.25,6.25,6.2,4.275,41.425,5.975,6.325,3.5
2007,12,22.599999999999998,6.483333333333333,6.133333333333333,4.1499999999999995,44.86666666666667,5.083333333333333,6.05,3.16
2007,2,26.066666666666666,5.8500000000000005,6.3500000000000005,5.333333333333333,40.766666666666666,5.75,6.166666666666667,2.6
2007,1,26.485714285714288,6.228571428571429,6.571428571428571,4.814285714285715,40.114285714285714,5.6571428571428575,5.885714285714286,2.9799999999999995
2007,7,29.2,6.4,5.5,3.4,42.0,5.0,5.8,0.0
2007,6,26.03333333333333,6.333333333333333,6.466666666666666,4.3,40.949999999999996,5.266666666666667,6.266666666666667,3.0
2007,5,24.985714285714288,5.585714285714286,6.742857142857143,4.357142857142857,41.98571428571428,5.1000000000000005,6.428571428571429,3.0142857142857147
2007,3,25.7,6.183333333333334,7.116666666666667,4.366666666666666,40.550000000000004,5.55,6.0,3.2399999999999998
2007,11,22.133333333333336,7.616666666666667,6.683333333333334,4.366666666666667,43.01666666666667,5.3999999999999995,6.566666666666666,2.8333333333333335
2007,10,24.099999999999998,8.233333333333333,6.066666666666666,3.6999999999999997,42.56666666666666,5.0,5.933333333333334,3.233333333333333
2007,9,23.8,7.58,6.14,4.4799999999999995,41.660000000000004,5.5,6.42,3.025
2008,4,23.8,7.125,6.25,4.625,42.099999999999994,5.25,6.475,3.025
2008,8,22.44,6.76,5.8,4.04,42.72,5.86,6.4,4.0
2008,12,26.96666666666667,6.633333333333333,5.8,4.3999999999999995,39.050000000000004,6.616666666666667,6.6499999999999995,2.9166666666666665
2008,2,22.166666666666668,7.033333333333334,6.183333333333334,4.166666666666667,43.900000000000006,5.55,6.066666666666666,3.016666666666667
2008,1,21.419999999999998,7.5200000000000005,6.26,4.1,43.64,5.859999999999999,6.6,2.92
2008,7,23.7,6.9,6.15,4.3,41.2,5.699999999999999,7.050000000000001,3.3
2008,6,22.78333333333333,7.083333333333333,6.166666666666667,4.6000000000000005,42.36666666666667,5.766666666666667,6.433333333333334,3.35
2008,5,22.4,7.260000000000001,6.32,4.7,42.62,5.54,6.3,3.34
2008,3,22.46,7.140000000000001,6.279999999999999,4.0200000000000005,43.18,5.04,6.640000000000001,3.02
2008,11,25.82,6.68,5.9,4.5600000000000005,39.0,6.0,6.720000000000001,4.0
2008,10,25.18,6.24,5.86,3.72,42.04,5.82,6.1,3.5
2008,9,22.325,7.6,6.05,4.275,43.5,5.625,6.125,3.5
2009,4,32.96,6.44,5.6,3.78,33.339999999999996,6.34,6.840000000000001,3.4799999999999995
2009,8,27.266666666666666,7.866666666666667,5.949999999999999,4.116666666666666,32.666666666666664,6.3500000000000005,9.033333333333333,3.733333333333333
2009,12,26.3,7.175,5.425,4.3875,34.0875,5.5,10.025,5.125
2009,2,27.76,7.159999999999999,5.7,4.26,37.68,5.8,7.06,3.1
2009,1,27.266666666666666,6.366666666666667,5.766666666666667,4.033333333333333,38.56666666666667,6.25,6.8999999999999995,3.1833333333333336
2009,7,27.0,8.566666666666666,4.566666666666666,4.6000000000000005,32.199999999999996,6.066666666666666,9.433333333333334,3.7999999999999994
2009,6,27.95,7.366666666666667,5.25,4.3,33.88333333333333,5.5,8.0,3.6833333333333336
2009,5,30.185714285714287,6.2,5.328571428571428,4.3428571428571425,33.82857142857143,6.514285714285714,7.428571428571429,3.6285714285714286
2009,3,29.05,6.725,5.85,3.95,37.675,6.6,5.949999999999999,3.0
2009,11,28.7,6.771428571428571,4.8,4.285714285714286,32.9,5.614285714285714,9.342857142857143,5.371428571428572
2009,10,27.514285714285712,7.228571428571429,5.442857142857143,4.4,34.48571428571429,5.571428571428571,8.314285714285715,4.357142857142857
2009,9,28.0,7.3999999999999995,5.233333333333333,4.416666666666667,33.81666666666667,5.783333333333334,8.533333333333333,3.983333333333333
2010,4,28.3125,6.55,4.8875,4.35,33.775,5.2625,10.275,4.6875
2010,8,31.0625,7.025,5.00625,5.4375,30.275000000000002,5.39375,9.1875,4.66875
2010,12,33.98571428571428,7.0,5.171428571428572,3.557142857142857,27.900000000000002,5.185714285714285,9.728571428571428,6.257142857142857
2010,2,28.083333333333332,6.633333333333333,4.966666666666667,4.533333333333333,33.550000000000004,5.633333333333333,10.016666666666667,4.616666666666666
2010,1,27.3,7.1000000000000005,4.6000000000000005,4.1499999999999995,35.0,5.133333333333334,10.25,4.55
2010,7,31.9,6.275,5.075,4.575,30.2,5.225,9.5,4.8
2010,6,31.988888888888887,6.188888888888888,4.811111111111111,4.300000000000001,30.866666666666667,5.477777777777778,10.011111111111111,4.444444444444445
2010,5,30.7,6.714285714285714,4.871428571428572,4.4,33.05714285714286,5.585714285714286,9.428571428571429,3.7142857142857144
2010,3,27.8,6.4375,4.6,4.875,33.125,5.8125,10.65,4.4875
2010,11,33.449999999999996,7.2,5.166666666666667,4.066666666666666,29.233333333333334,5.2,8.75,5.766666666666667
2010,10,32.38,7.58,5.4399999999999995,4.46,29.5,4.9799999999999995,8.52,5.6
2010,9,29.62258064516129,7.645161290322581,6.170967741935484,5.82258064516129,28.6,6.483870967741935,8.380645161290323,5.367741935483871
2011,4,33.285714285714285,6.614285714285714,4.557142857142857,3.6142857142857143,30.400000000000002,5.085714285714286,9.128571428571428,6.2
2011,8,32.028571428571425,6.671428571428572,4.385714285714286,3.314285714285714,32.7,4.585714285714286,9.414285714285715,5.942857142857143
2011,12,34.3375,6.1125,5.45,3.8499999999999996,25.75,6.0375,11.275,6.0875
2011,2,34.46,6.94,4.4399999999999995,3.9199999999999995,28.660000000000004,5.0600000000000005,9.02,6.220000000000001
2011,1,34.983333333333334,6.8999999999999995,4.633333333333334,3.783333333333333,26.933333333333334,5.216666666666667,9.833333333333334,6.483333333333333
2011,7,32.480000000000004,6.36,4.64,3.6,31.22,4.46,10.22,6.1
2011,6,31.34444444444445,6.577777777777778,4.5,3.922222222222222,32.05555555555556,4.677777777777778,9.8,6.311111111111111
2011,5,32.4125,6.4875,4.5,3.725,31.6875,4.825,9.1,6.3125
2011,3,33.39,6.93,4.5200000000000005,3.8299999999999996,29.18,5.26,9.68,6.1899999999999995
2011,11,33.975,6.525,5.4125,3.725,26.0125,6.1125,10.675,6.425
2011,10,31.875,6.375,5.45,4.025,30.175,5.4625,9.6375,6.0125
2011,9,32.2,6.2375,4.9,3.7125,32.15,4.8375,9.1,5.7625
2012,4,30.0125,5.3875,4.3125,3.4875,34.875,5.95,8.925,6.1125
2012,8,28.1,6.1,4.279999999999999,3.66,33.8,5.88,9.4,7.38
2012,12,29.644444444444446,5.6,4.088888888888889,3.7333333333333334,32.3,5.811111111111111,8.61111111111111,9.3
2012,2,32.7875,5.7,5.0,3.7625,26.525,8.4375,10.5375,6.2875
2012,1,34.525,5.875,5.1375,3.475,24.15,7.475,11.775,6.625
2012,7,29.185714285714287,6.3,4.371428571428572,3.4857142857142853,34.18571428571429,6.057142857142857,8.657142857142857,6.814285714285715
2012,6,29.400000000000002,5.8625,4.7,3.5625,35.375,5.65,8.475,6.35
2012,5,28.957142857142856,5.528571428571429,4.128571428571428,3.557142857142857,35.91428571428572,5.628571428571428,8.628571428571428,6.628571428571428
2012,3,30.787499999999998,5.725,4.775,3.85,32.0125,6.8625,9.2125,5.7875
2012,11,29.5625,5.575,4.15,3.4250000000000003,32.887499999999996,5.925,8.1625,9.125
2012,10,29.32857142857143,6.014285714285714,4.314285714285714,3.442857142857143,32.785714285714285,6.3,8.371428571428572,8.442857142857143
2012,9,29.633333333333333,5.977777777777778,4.2444444444444445,3.5888888888888886,33.855555555555554,6.077777777777778,8.78888888888889,6.955555555555556
2013,4,28.044444444444444,6.011111111111111,3.788888888888889,3.7666666666666666,32.96666666666667,6.133333333333334,8.844444444444443,8.955555555555556
2013,8,26.22,5.16,4.24,4.08,31.620000000000005,6.720000000000001,9.42,10.940000000000001
2013,12,24.4625,6.05,4.1125,3.9749999999999996,32.9875,7.3875,9.1875,10.525
2013,2,29.114285714285717,6.0,3.5285714285714285,3.6,31.400000000000002,6.028571428571429,9.1,10.428571428571429
2013,1,28.916666666666668,5.7,3.9333333333333336,3.9166666666666665,31.849999999999998,5.916666666666667,8.35,10.716666666666667
2013,7,25.15,5.449999999999999,3.3,3.75,32.1,7.65,9.3,12.2
2013,6,26.88888888888889,6.011111111111111,3.7333333333333334,3.922222222222222,32.46666666666667,6.766666666666667,9.655555555555557,9.333333333333334
2013,5,27.900000000000002,5.585714285714286,3.514285714285714,3.5,32.65714285714286,6.471428571428571,9.028571428571428,9.685714285714285
2013,3,27.7625,6.15,3.7875,3.6375,32.0625,6.2625,9.15,10.225
2013,11,25.62222222222222,5.777777777777778,3.9555555555555557,3.8000000000000003,32.93333333333333,7.077777777777778,9.533333333333333,10.166666666666666
2013,10,25.52857142857143,5.128571428571428,4.3428571428571425,3.6999999999999997,33.357142857142854,6.671428571428572,8.785714285714286,11.114285714285714
2013,9,25.344444444444445,6.111111111111111,4.111111111111111,3.8000000000000003,32.78888888888889,6.922222222222222,9.61111111111111,9.955555555555556
2014,4,23.475,6.2,4.025,3.475,33.4,8.025,9.825,9.1875
2014,8,22.123076923076926,6.438461538461539,4.976923076923077,4.315384615384615,30.50769230769231,6.923076923076923,10.176923076923078,10.415384615384616
2014,12,24.900000000000002,5.008333333333334,6.108333333333333,3.9416666666666664,30.258333333333336,5.533333333333334,6.825,14.583333333333334
2014,2,23.75,5.783333333333334,4.1000000000000005,3.85,33.1,8.35,9.133333333333333,10.299999999999999
2014,1,24.725,5.8375,4.2,3.5375,33.1375,7.9875,9.2375,9.9125
2014,7,21.44,6.14,4.84,4.5600000000000005,30.380000000000003,7.659999999999999,10.82,10.08
2014,6,21.6375,6.175,5.0,4.0875,31.2,7.45,11.225,9.5875
2014,5,22.9625,5.8625,4.05,3.975,32.825,8.475,9.15,9.2
2014,3,23.977777777777778,5.699999999999999,4.111111111111111,3.5888888888888886,33.63333333333333,7.677777777777777,9.822222222222223,9.466666666666667
2014,11,25.383333333333336,5.466666666666666,6.383333333333333,3.8833333333333333,29.183333333333334,6.3,7.45,12.566666666666668
2014,10,24.520000000000003,5.36,5.7,3.84,29.04,6.04,8.0,13.62
2014,9,22.087600000000002,6.3876,5.876,5.0412,30.2344,6.8908000000000005,8.8568,10.3332
2015,4,24.914285714285715,4.942857142857143,6.142857142857143,3.8857142857142857,27.3,6.714285714285714,6.671428571428572,16.02857142857143
2015,8,23.0,4.716666666666667,6.833333333333333,3.5,24.416666666666668,6.866666666666667,6.6000000000000005,20.733333333333334
2015,12,22.033333333333335,5.7555555555555555,7.2444444444444445,3.411111111111111,24.833333333333332,6.944444444444445,5.777777777777778,21.144444444444446
2015,2,23.24285714285714,4.571428571428571,6.357142857142857,4.314285714285714,30.099999999999998,6.328571428571428,6.814285714285715,15.142857142857142
2015,1,23.900000000000002,4.814285714285715,5.8428571428571425,4.014285714285714,31.75714285714286,5.8999999999999995,6.357142857142857,14.299999999999999
2015,7,21.950000000000003,4.550000000000001,6.65,3.6500000000000004,24.8,6.6,6.75,21.0
2015,6,25.044444444444444,4.666666666666667,7.011111111111111,3.466666666666667,26.966666666666665,6.522222222222222,6.511111111111111,16.822222222222223
2015,5,24.6125,4.9375,7.2625,3.55,26.4625,6.6,6.425,16.65
2015,3,23.675,5.0125,6.125,4.1125,29.9375,6.2875,6.4625,15.0125
2015,11,21.985714285714288,5.442857142857143,7.171428571428572,3.8028571428571425,24.942857142857143,6.457142857142857,6.1000000000000005,21.228571428571428
2015,10,22.2125,5.075,7.4375,3.8125,25.3875,6.6625,6.2625,19.9625
2015,9,21.8,4.85,7.3875,3.575,25.3,6.4625,6.0625,21.4
2016,4,24.97142857142857,5.257142857142857,6.585714285714286,3.2857142857142856,25.085714285714285,7.585714285714286,5.185714285714285,18.900000000000002
2016,8,24.314285714285717,4.414285714285714,7.442857142857143,3.4714285714285715,24.842857142857145,8.242857142857144,3.6142857142857143,20.285714285714285
2016,12,21.25,5.6,8.625,3.475,26.275,7.7625,4.3875,19.1875
2016,2,24.099999999999998,5.685714285714285,6.771428571428571,3.5,23.514285714285712,7.214285714285714,5.357142857142857,20.37142857142857
2016,1,23.12857142857143,5.428571428571429,7.328571428571428,3.4142857142857146,23.914285714285715,7.014285714285714,5.457142857142857,21.485714285714288
2016,7,24.7,5.7,7.9,3.3,26.0,7.6,4.8,16.8
2016,6,24.8,4.714285714285714,7.271428571428571,3.3285714285714287,25.657142857142855,7.285714285714286,4.385714285714285,18.97142857142857
2016,5,24.95,5.63,6.459999999999999,3.7700000000000005,25.660000000000004,7.82,4.24,18.31
2016,3,24.725,4.8875,6.0,3.6625,25.525,7.225,5.7375,19.175
2016,11,22.514285714285712,5.385714285714286,8.128571428571428,3.0285714285714285,25.3,7.928571428571429,4.085714285714286,19.928571428571427
2016,10,22.842857142857145,5.571428571428571,7.8428571428571425,3.4714285714285715,25.142857142857142,7.857142857142857,4.014285714285714,19.62857142857143
2016,9,23.642857142857142,4.8999999999999995,7.371428571428572,3.2714285714285714,25.385714285714283,7.814285714285714,4.328571428571428,19.82857142857143
2017,4,16.875,5.35,12.3625,3.4499999999999997,27.275,7.375,3.8875,20.25
2017,8,16.090239999999998,5.262942,11.984441285714285,3.6814709999999997,27.716124285714283,7.560113142857142,4.078642142857142,20.501697142857143
2017,12,22.0,4.85,9.575,3.275,27.8125,7.375,3.875,17.725
2017,2,18.9125,5.35,11.425,3.5,25.9375,7.7125,4.2375,19.825
2017,1,21.75,5.3625,9.4,3.1125,25.7375,7.9,4.525,18.725
2017,7,15.6,5.76,11.84,3.2,25.7,7.9,4.0600000000000005,22.240000000000002
2017,6,16.5375,5.3875,12.2375,3.275,26.7375,7.9,3.7875,20.6125
2017,5,16.944444444444443,5.377777777777777,12.466666666666667,3.533333333333333,27.133333333333333,7.5,3.5777777777777775,19.9
2017,3,16.86166857142857,5.532956142857143,12.424469571428572,3.0528995714285716,25.961809999999996,7.817256,4.107213571428572,20.574540000000002
2017,11,21.066666666666666,4.711111111111111,10.399999999999999,3.311111111111111,28.12222222222222,7.422222222222222,4.388888888888889,17.266666666666666
2017,10,18.485714285714288,5.371428571428572,11.071428571428571,3.257142857142857,29.02857142857143,7.742857142857143,3.8428571428571425,17.914285714285715
2017,9,16.642857142857142,5.057142857142857,11.614285714285714,3.4714285714285715,28.442857142857143,7.1571428571428575,4.085714285714285,20.085714285714285
2018,4,22.0875,4.475,9.2125,3.525,26.3,7.9,4.1375,18.1125
2018,8,18.214285714285715,5.596428571428571,8.871428571428572,4.789285714285714,24.539285714285715,9.678571428571429,5.5321428571428575,19.724999999999998
2018,12,18.525,3.9125,8.075,6.7875,29.775,7.8375,4.0125,19.6625
2018,2,22.9375,4.7125,9.9625,3.05,26.8,8.125,3.75,17.475
2018,1,22.900000000000002,4.3428571428571425,9.071428571428571,2.9857142857142853,27.67142857142857,7.3999999999999995,4.071428571428571,17.9
2018,7,18.54,5.08,8.8,3.3600000000000003,23.58,10.02,4.220000000000001,22.919999999999998
2018,6,20.272727272727273,5.0181818181818185,9.045454545454545,3.309090909090909,24.39090909090909,8.799999999999999,4.318181818181818,21.490909090909092
2018,5,21.37142857142857,4.457142857142857,8.9,3.4,25.32857142857143,8.571428571428571,4.071428571428571,20.042857142857144
2018,3,21.614285714285717,4.5285714285714285,8.585714285714285,3.8285714285714287,26.714285714285715,8.042857142857143,4.0285714285714285,18.62857142857143
2018,11,18.52857142857143,4.057142857142857,9.299999999999999,5.857142857142857,29.014285714285712,7.985714285714286,3.971428571428571,19.642857142857142
2018,10,19.32,4.92,8.76,5.9799999999999995,29.139999999999997,7.859999999999999,4.26,18.36
2018,9,17.46666666666667,5.9523809523809526,8.552380952380952,6.300000000000001,24.638095238095236,10.214285714285714,5.371428571428571,18.304761904761904
2019,4,16.55,3.8333333333333335,7.933333333333334,11.433333333333332,26.349999999999998,9.466666666666667,4.133333333333334,18.45
2019,8,18.46666666666667,4.283333333333333,8.666666666666666,7.233333333333333,25.566666666666666,9.1,4.833333333333333,19.966666666666665
2019,12,17.233333333333334,3.9499999999999997,8.0,6.166666666666667,24.166666666666668,9.283333333333333,4.783333333333333,24.916666666666668
2019,2,17.95714285714286,3.2857142857142856,7.714285714285714,8.242857142857144,27.814285714285713,9.642857142857142,3.6714285714285713,20.014285714285712
2019,1,18.433333333333334,3.9499999999999997,7.666666666666667,7.7,29.95,8.450000000000001,3.75,18.65
2019,7,17.3,4.9,9.4,8.6,25.75,8.4,5.0,18.8
2019,6,17.688888888888886,3.9111111111111114,8.755555555555555,9.266666666666667,26.133333333333333,8.988888888888889,5.055555555555555,18.5
2019,5,16.55,3.4499999999999997,8.666666666666666,10.933333333333332,26.183333333333334,9.133333333333333,4.416666666666667,18.616666666666667
2019,3,17.728571428571428,3.4857142857142853,7.971428571428571,10.357142857142858,26.900000000000002,9.4,3.871428571428571,18.67142857142857
2019,11,17.4,3.28,7.760000000000001,7.279999999999999,24.02,9.059999999999999,4.84,24.4
2019,10,18.133333333333333,3.9,8.283333333333333,6.866666666666667,24.45,8.966666666666667,4.733333333333333,22.833333333333332
2019,9,18.966666666666665,4.116666666666666,8.333333333333334,6.6000000000000005,24.71666666666667,8.833333333333334,4.666666666666667,21.883333333333336
2020,4,18.759999999999998,3.4,7.4799999999999995,6.0200000000000005,29.080000000000002,8.92,3.88,21.04
2020,8,20.75,3.3166666666666664,7.383333333333333,5.8500000000000005,27.55,9.283333333333333,3.8666666666666667,20.15
2020,12,22.19604,2.824328142857143,7.761527571428571,5.435785,26.591795714285716,10.284441428571428,3.9643564285714286,19.40028285714286
2020,2,18.4,3.46,8.2,6.32,23.0,10.74,4.220000000000001,24.3
2020,1,17.5,3.4499999999999997,8.716666666666667,6.683333333333334,23.21666666666667,10.166666666666666,4.333333333333333,24.5
2020,7,20.55,2.85,7.1,5.7,27.0,8.15,4.6,21.9
2020,6,19.585714285714285,3.2714285714285714,7.214285714285714,6.3,30.45714285714286,9.228571428571428,3.642857142857143,18.771428571428572
2020,5,19.68366333333333,3.2617161666666665,7.321782166666666,6.173432333333333,30.798845,8.901815166666667,3.5600659999999995,19.00033
2020,3,18.762376,3.850099,7.986138599999999,6.768118799999999,23.750496000000002,10.7562376,4.1520792,22.596436
2020,11,21.2,3.06,8.040000000000001,5.7,25.34,10.22,3.7600000000000002,20.88
2020,10,20.51534666666667,3.1783828333333335,8.3351485,6.0067656666666664,25.575413333333334,10.248515,4.2750825,20.166996666666666
2020,9,20.8,3.12,7.56,5.9399999999999995,26.48,8.86,4.04,21.16
2021,4,21.666666666666668,3.0500000000000003,8.133333333333333,5.116666666666666,26.45,9.4,4.283333333333333,19.9
2021,8,21.225,3.025,8.375,4.85,24.325000000000003,10.975,4.425,21.075
2021,12,21.233333333333334,2.6833333333333336,7.533333333333334,5.216666666666667,29.3,9.283333333333333,3.733333333333333,19.333333333333332
2021,2,23.46,2.8,9.040000000000001,5.0200000000000005,26.72,9.879999999999999,3.84,17.94
2021,1,22.02,2.66,7.88,5.12,26.48,10.02,4.0600000000000005,19.96
2021,7,21.233333333333334,3.3333333333333335,8.533333333333333,5.566666666666666,24.266666666666666,11.0,3.8666666666666667,20.933333333333334
2021,6,22.175,2.675,9.4875,5.6375,25.3,10.1625,3.5125,19.4375
2021,5,21.525,3.1,9.275,5.15,25.95,9.2,4.275,19.7
2021,3,22.976436,2.9940594000000003,8.6421782,4.8520792,26.106534,9.898218,3.7920792,19.000396000000002
2021,11,21.68,2.92,8.24,5.08,26.4,10.3,3.9,19.740000000000002
2021,10,22.02857142857143,2.914285714285714,7.771428571428572,4.957142857142857,25.157142857142855,10.642857142857142,3.9285714285714284,20.814285714285713
2021,9,21.7,2.4833333333333334,8.483333333333333,5.266666666666667,25.433333333333334,10.683333333333332,3.9166666666666665,20.45
2022,4,21.400000000000002,2.65,6.6000000000000005,5.516666666666667,31.933333333333334,8.733333333333333,3.3666666666666667,18.05
2022,8,18.084615384615383,5.5807692307692305,6.638461538461538,5.9557692307692305,29.465384615384615,8.171153846153846,5.246153846153846,19.23076923076923
2022,12,18.933333333333334,3.6,5.883333333333333,4.733333333333333,34.61666666666667,7.6000000000000005,4.3,18.650000000000002
2022,2,20.766666666666666,2.8666666666666667,7.216666666666666,5.166666666666667,29.483333333333334,10.066666666666666,3.266666666666667,19.583333333333332
2022,1,20.6,3.075,7.0,5.35,30.65,9.85,3.05,18.775
2022,7,19.7,5.266666666666667,6.233333333333333,6.166666666666667,31.166666666666668,9.166666666666666,4.0,16.766666666666666
2022,6,20.849999999999998,4.066666666666667,6.283333333333334,5.833333333333333,31.21666666666667,8.450000000000001,3.3333333333333335,18.233333333333334
2022,5,21.52857142857143,3.0,6.057142857142857,6.128571428571428,30.414285714285715,8.342857142857143,3.2714285714285714,18.914285714285715
2022,3,21.6,2.2399999999999998,6.82,5.92,31.879999999999995,8.48,2.92,18.78
2022,11,20.06,3.66,5.68,4.26,33.2,7.92,4.42,19.259999999999998
2022,10,20.25,4.325,6.075,4.9,31.375,7.425,4.325,20.225
2022,9,17.394444444444446,5.316666666666666,7.574999999999999,6.038888888888889,29.03611111111111,7.772222222222222,5.85,19.99722222222222
2023,4,20.1,3.5,4.625,3.625,36.325,7.975,4.025,18.175
2023,8,18.7,2.95,4.7,3.475,37.65,8.175,4.8,17.925
2023,12,16.6,3.0,4.1,3.4000000000000004,35.75,7.300000000000001,4.5,23.549999999999997
2023,2,20.025,3.15,4.95,4.15,35.9,7.45,4.125,18.225
2023,1,19.2,3.625,5.4,4.15,35.125,8.125,3.775,18.8
2023,7,19.6,3.1,4.65,3.85,35.1,8.05,3.25,20.3
2023,6,20.080000000000002,3.5199999999999996,4.5,3.6399999999999997,36.56,7.92,3.94,18.2
2023,5,19.575,3.2,4.575,3.825,36.699999999999996,8.15,4.025,18.05
2023,3,20.075,3.375,4.525,4.075,36.625,7.675,4.025,18.225
2023,11,17.74,2.6,3.9200000000000004,3.34,36.62,7.959999999999999,4.32,21.740000000000002
2023,10,17.86,3.06,4.4,3.2,36.54,7.68,4.42,20.96
2023,9,18.880000000000003,3.12,4.22,3.22,37.22,7.640000000000001,4.66,19.18
